Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
,Participation,Commerial tours,Family,,100,,,,,100
,Participation,Commerial tours,BAME,,100,,,,,100
,Participation,Commerial tours,Women,,100,,,,,100
,Participation,Commerial tours,HoC/HoL staff,,100,,,,,100
,Participation,Commerial tours,70+,,100,,,,,100
,Participation,Commerial tours,55-69yrs,,100,,,,,100
,Participation,Commerial tours,40-55yrs,,100,,,,,100
,Participation,Commerial tours,25-39yrs,,100,,,,,100
,Participation,Commerial tours,Disabled/access required,,100,,,,,100
,Participation,Commerial tours,Members & their staff,,100,,,,,100
,Participation,Commerial tours,18-24yrs (students),,100,,,,,100
,Participation,Commerial tours,Domestic UK,,100,,,,,100
,Participation,Commerial tours,18-24yrs,,100,,,,,100
,Participation,Commerial tours,14-16yrs,,100,,,,,100
,Participation,Commerial tours,11-14yrs,,100,,,,,100
,Participation,Commerial tours,7-11yrs,,100,,,,,100
,Participation,Commerial tours,16-19yrs,,100,,,,,100
,Participation,Commerial tours,5-7yrs,,100,,,,,100
,Participation,Commerial tours,0-5yrs,,100,,,,,100
,Participation,Education,Family,,100,,,,,100
,Participation,Education,BAME,,100,,,,,100
,Participation,Education,Women,,100,,,,,100
,Participation,Education,HoC/HoL staff,,100,,,,,100
,Participation,Education,70+,,100,,,,,100
,Participation,Education,55-69yrs,,100,,,,,100
,Participation,Education,40-55yrs,,100,,,,,100
,Participation,Education,25-39yrs,,100,,,,,100
,Participation,Education,Disabled/access required,,100,,,,,100
,Participation,Education,Members & their staff,,100,,,,,100
,Participation,Education,18-24yrs (students),,100,,,,,100
,Participation,Education,Domestic UK,,100,,,,,100
,Participation,Education,18-24yrs,,100,,,,,100
,Participation,Education,14-16yrs,,100,,,,,100
,Participation,Education,11-14yrs,,100,,,,,100
,Participation,Education,7-11yrs,,100,,,,,100
,Participation,Education,16-19yrs,,100,,,,,100
,Participation,Education,5-7yrs,,100,,,,,100
,Participation,Education,0-5yrs,,100,,,,,100
,Participation,Projects Team,Family,,100,,,,,100
,Participation,Projects Team,BAME,,100,,,,,100
,Participation,Projects Team,Women,,100,,,,,100
,Participation,Projects Team,HoC/HoL staff,,100,,,,,100
,Participation,Projects Team,70+,,100,,,,,100
