Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
,Participation,Commerial tours,Family,,,,,,,364.259
,Participation,Commerial tours,BAME,,,,,,,6.66
,Participation,Commerial tours,Women,,,,,,,101.04
,Participation,Commerial tours,HoC/HoL staff,,,,,,,0.1
,Participation,Commerial tours,70+,,,,,,,20831.835
,Participation,Commerial tours,55-69yrs,,,,,,,9482.545
,Participation,Commerial tours,40-55yrs,,,,,,,1778.762
,Participation,Commerial tours,25-39yrs,,,,,,,1541
,Participation,Commerial tours,Disabled/access required,,,,,,,234.6
,Participation,Commerial tours,Members & their staff,,,,,,,2166.483
,Participation,Commerial tours,18-24yrs (students),,,,,,,3971.144
,Participation,Commerial tours,Domestic UK,,,,,,,2461.777
,Participation,Commerial tours,18-24yrs,,,,,,,1921
,Participation,Commerial tours,14-16yrs,,,,,,,80
,Participation,Commerial tours,11-14yrs,,,,,,,95.771
,Participation,Commerial tours,7-11yrs,,,,,,,799.242
,Participation,Commerial tours,16-19yrs,,,,,,,363.12
,Participation,Commerial tours,5-7yrs,,,,,,,435.858
,Participation,Commerial tours,0-5yrs,,,,,,,372.232
,Participation,Education,Family,,,,,,,161.5
,Participation,Education,BAME,,,,,,,5.993
,Participation,Education,Women,,,,,,,122.442
,Participation,Education,HoC/HoL staff,,,,,,,12
,Participation,Education,70+,,,,,,,3475.68
,Participation,Education,55-69yrs,,,,,,,3018.502
,Participation,Education,40-55yrs,,,,,,,291.728
,Participation,Education,25-39yrs,,,,,,,190.267
,Participation,Education,Disabled/access required,,,,,,,97.127
,Participation,Education,Members & their staff,,,,,,,25.252
,Participation,Education,18-24yrs (students),,,,,,,4.323
,Participation,Education,Domestic UK,,,,,,,501
,Participation,Education,18-24yrs,,,,,,,658.695
,Participation,Education,14-16yrs,,,,,,,2219.006
,Participation,Education,11-14yrs,,,,,,,10.6
,Participation,Education,7-11yrs,,,,,,,202.963
,Participation,Education,16-19yrs,,,,,,,150.557
,Participation,Education,5-7yrs,,,,,,,4.75
,Participation,Education,0-5yrs,,,,,,,2.75
,Participation,Projects Team,Family,,,,,,,25.011
,Participation,Projects Team,BAME,,,,,,,71.999
,Participation,Projects Team,Women,,,,,,,114.927
,Participation,Projects Team,HoC/HoL staff,,,,,,,20.38
,Participation,Projects Team,70+,,,,,,,12.1
,Participation,Projects Team,55-69yrs,,,,,,,7.3
,Participation,Projects Team,40-55yrs,,,,,,,6
,Participation,Projects Team,25-39yrs,,,,,,,5.054
,Participation,Projects Team,Disabled/access required,,,,,,,3
,Participation,Projects Team,Members & their staff,,,,,,,103.963
,Participation,Projects Team,18-24yrs (students),,,,,,,80
,Participation,Projects Team,Domestic UK,,,,,,,3
,Participation,Projects Team,18-24yrs,,,,,,,3890.976
,Participation,Projects Team,14-16yrs,,,,,,,1692.641
,Participation,Projects Team,11-14yrs,,,,,,,1589.848
,Participation,Projects Team,7-11yrs,,,,,,,380.875
,Participation,Projects Team,16-19yrs,,,,,,,199.558
,Participation,Projects Team,5-7yrs,,,,,,,161.717
,Participation,Projects Team,0-5yrs,,,,,,,94.385
,Participation,Visitor Services,Family,,,,,,,8514.672
,Participation,Visitor Services,BAME,,,,,,,696.002
,Participation,Visitor Services,Women,,,,,,,
,Participation,Visitor Services,HoC/HoL staff,,,,,,,
,Participation,Visitor Services,70+,,,,,,,
,Participation,Visitor Services,55-69yrs,,,,,,,
,Participation,Visitor Services,40-55yrs,,,,,,,
,Participation,Visitor Services,25-39yrs,,,,,,,
,Participation,Visitor Services,Disabled/access required,,,,,,,
,Participation,Visitor Services,Members & their staff,,,,,,,
,Participation,Visitor Services,18-24yrs (students),,,,,,,
,Participation,Visitor Services,Domestic UK,,,,,,,
,Participation,Visitor Services,18-24yrs,,,,,,,
,Participation,Visitor Services,14-16yrs,,,,,,,
,Participation,Visitor Services,11-14yrs,,,,,,,
,Participation,Visitor Services,7-11yrs,,,,,,,
,Participation,Visitor Services,16-19yrs,,,,,,,
,Participation,Visitor Services,5-7yrs,,,,,,,
,Participation,Visitor Services,0-5yrs,,,,,,,
,Participation,Select Committees,Family,,,,,,,
,Participation,Select Committees,BAME,,,,,,,
,Participation,Select Committees,Women,,,,,,,
,Participation,Select Committees,HoC/HoL staff,,,,,,,
,Participation,Select Committees,70+,,,,,,,
,Participation,Select Committees,55-69yrs,,,,,,,
,Participation,Select Committees,40-55yrs,,,,,,,
,Participation,Select Committees,25-39yrs,,,,,,,
,Participation,Select Committees,Disabled/access required,,,,,,,
,Participation,Select Committees,Members & their staff,,,,,,,
,Participation,Select Committees,18-24yrs (students),,,,,,,
,Participation,Select Committees,Domestic UK,,,,,,,
,Participation,Select Committees,18-24yrs,,,,,,,
