Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
,Commerial tours,On site,Family,,100,,,,,100
,Commerial tours,On site,BAME,,400,,,,,400
,Commerial tours,On site,Women,,250,,,,,250
,Commerial tours,On site,HoC/HoL staff,,330,,,,,330
,Commerial tours,On site,70+,,,,,,,
,Commerial tours,On site,55-69yrs,,,,,,,
,Commerial tours,On site,40-55yrs,,,,,,,
,Commerial tours,On site,25-39yrs,,,,,,,
,Commerial tours,On site,Disabled/access required,,,,,,,
,Commerial tours,On site,Members & their staff,,,,,,,
,Commerial tours,On site,18-24yrs (students),,,,,,,
,Commerial tours,On site,Domestic UK,,,,,,,
,Commerial tours,On site,18-24yrs,,,,,,,
,Commerial tours,On site,14-16yrs,,,,,,,
,Commerial tours,On site,11-14yrs,,,,,,,
,Commerial tours,On site,7-11yrs,,,,,,,
,Commerial tours,On site,16-19yrs,,,,,,,
,Commerial tours,On site,5-7yrs,,,,,,,
,Commerial tours,On site,0-5yrs,,,,,,,
,Education,BAU on site: excluding tours,Family,,,,,,,
,Education,BAU on site: excluding tours,BAME,,,,,,,
,Education,BAU on site: excluding tours,Women,,,,,,,
,Education,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,Education,BAU on site: excluding tours,70+,,,,,,,
,Education,BAU on site: excluding tours,55-69yrs,,,,,,,
,Education,BAU on site: excluding tours,40-55yrs,,,,,,,
,Education,BAU on site: excluding tours,25-39yrs,,,,,,,
,Education,BAU on site: excluding tours,Disabled/access required,,,,,,,
,Education,BAU on site: excluding tours,Members & their staff,,,,,,,
,Education,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,Education,BAU on site: excluding tours,Domestic UK,,,,,,,
,Education,BAU on site: excluding tours,18-24yrs,,,,,,,
,Education,BAU on site: excluding tours,14-16yrs,,,,,,,
,Education,BAU on site: excluding tours,11-14yrs,,,,,,,
,Education,BAU on site: excluding tours,7-11yrs,,,,,,,
,Education,BAU on site: excluding tours,16-19yrs,,,,,,,
,Education,BAU on site: excluding tours,5-7yrs,,,,,,,
,Education,BAU on site: excluding tours,0-5yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,Family,,,,,,,
,Projects Team,BAU on site: excluding tours,BAME,,,,,,,
,Projects Team,BAU on site: excluding tours,Women,,,,,,,
,Projects Team,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,Projects Team,BAU on site: excluding tours,70+,,,,,,,
,Projects Team,BAU on site: excluding tours,55-69yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,40-55yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,25-39yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,Disabled/access required,,,,,,,
,Projects Team,BAU on site: excluding tours,Members & their staff,,,,,,,
,Projects Team,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,Projects Team,BAU on site: excluding tours,Domestic UK,,,,,,,
,Projects Team,BAU on site: excluding tours,18-24yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,14-16yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,11-14yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,7-11yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,16-19yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,5-7yrs,,,,,,,
,Projects Team,BAU on site: excluding tours,0-5yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,Family,,,,,,,
,Visitor Services,BAU on site: excluding tours,BAME,,,,,,,
,Visitor Services,BAU on site: excluding tours,Women,,,,,,,
,Visitor Services,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,Visitor Services,BAU on site: excluding tours,70+,,,,,,,
,Visitor Services,BAU on site: excluding tours,55-69yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,40-55yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,25-39yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,Disabled/access required,,,,,,,
,Visitor Services,BAU on site: excluding tours,Members & their staff,,,,,,,
,Visitor Services,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,Visitor Services,BAU on site: excluding tours,Domestic UK,,,,,,,
,Visitor Services,BAU on site: excluding tours,18-24yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,14-16yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,11-14yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,7-11yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,16-19yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,5-7yrs,,,,,,,
,Visitor Services,BAU on site: excluding tours,0-5yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,Family,,,,,,,
,Select Committees,BAU on site: excluding tours,BAME,,,,,,,
,Select Committees,BAU on site: excluding tours,Women,,,,,,,
,Select Committees,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,Select Committees,BAU on site: excluding tours,70+,,,,,,,
,Select Committees,BAU on site: excluding tours,55-69yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,40-55yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,25-39yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,Disabled/access required,,,,,,,
,Select Committees,BAU on site: excluding tours,Members & their staff,,,,,,,
,Select Committees,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,Select Committees,BAU on site: excluding tours,Domestic UK,,,,,,,
,Select Committees,BAU on site: excluding tours,18-24yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,14-16yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,11-14yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,7-11yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,16-19yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,5-7yrs,,,,,,,
,Select Committees,BAU on site: excluding tours,0-5yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,Family,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,BAME,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,Women,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,70+,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,55-69yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,40-55yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,25-39yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,Disabled/access required,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,Members & their staff,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,Domestic UK,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,18-24yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,14-16yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,11-14yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,7-11yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,16-19yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,5-7yrs,,,,,,,
,2018 Anniversaries,BAU on site: excluding tours,0-5yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,Family,,,,,,,
,Enquiries,BAU on site: excluding tours,BAME,,,,,,,
,Enquiries,BAU on site: excluding tours,Women,,,,,,,
,Enquiries,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,Enquiries,BAU on site: excluding tours,70+,,,,,,,
,Enquiries,BAU on site: excluding tours,55-69yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,40-55yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,25-39yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,Disabled/access required,,,,,,,
,Enquiries,BAU on site: excluding tours,Members & their staff,,,,,,,
,Enquiries,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,Enquiries,BAU on site: excluding tours,Domestic UK,,,,,,,
,Enquiries,BAU on site: excluding tours,18-24yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,14-16yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,11-14yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,7-11yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,16-19yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,5-7yrs,,,,,,,
,Enquiries,BAU on site: excluding tours,0-5yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,Family,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,BAME,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,Women,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,70+,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,55-69yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,40-55yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,25-39yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,Disabled/access required,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,Members & their staff,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,Domestic UK,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,18-24yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,14-16yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,11-14yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,7-11yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,16-19yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,5-7yrs,,,,,,,
,Outreach and Engagement,BAU on site: excluding tours,0-5yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,Family,,,,,,,
,Learning Projects,BAU on site: excluding tours,BAME,,,,,,,
,Learning Projects,BAU on site: excluding tours,Women,,,,,,,
,Learning Projects,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,Learning Projects,BAU on site: excluding tours,70+,,,,,,,
,Learning Projects,BAU on site: excluding tours,55-69yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,40-55yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,25-39yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,Disabled/access required,,,,,,,
,Learning Projects,BAU on site: excluding tours,Members & their staff,,,,,,,
,Learning Projects,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,Learning Projects,BAU on site: excluding tours,Domestic UK,,,,,,,
,Learning Projects,BAU on site: excluding tours,18-24yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,14-16yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,11-14yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,7-11yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,16-19yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,5-7yrs,,,,,,,
,Learning Projects,BAU on site: excluding tours,0-5yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,Family,,,,,,,
,Digital Planning,BAU on site: excluding tours,BAME,,,,,,,
,Digital Planning,BAU on site: excluding tours,Women,,,,,,,
,Digital Planning,BAU on site: excluding tours,HoC/HoL staff,,,,,,,
,Digital Planning,BAU on site: excluding tours,70+,,,,,,,
,Digital Planning,BAU on site: excluding tours,55-69yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,40-55yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,25-39yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,Disabled/access required,,,,,,,
,Digital Planning,BAU on site: excluding tours,Members & their staff,,,,,,,
,Digital Planning,BAU on site: excluding tours,18-24yrs (students),,,,,,,
,Digital Planning,BAU on site: excluding tours,Domestic UK,,,,,,,
,Digital Planning,BAU on site: excluding tours,18-24yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,14-16yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,11-14yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,7-11yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,16-19yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,5-7yrs,,,,,,,
,Digital Planning,BAU on site: excluding tours,0-5yrs,,,,,,,
,Digital Outreach,Information out to the public,Family,,,,,,,
,Digital Outreach,Information out to the public,BAME,,,,,,,
,Digital Outreach,Information out to the public,Women,,,,,,,
,Digital Outreach,Information out to the public,HoC/HoL staff,,,,,,,
,Digital Outreach,Information out to the public,70+,,,,,,,
,Digital Outreach,Information out to the public,55-69yrs,,,,,,,
,Digital Outreach,Information out to the public,40-55yrs,,,,,,,
,Digital Outreach,Information out to the public,25-39yrs,,,,,,,
,Digital Outreach,Information out to the public,Disabled/access required,,,,,,,
,Digital Outreach,Information out to the public,Members & their staff,,,,,,,
,Digital Outreach,Information out to the public,18-24yrs (students),,,,,,,
,Digital Outreach,Information out to the public,Domestic UK,,,,,,,
,Digital Outreach,Information out to the public,18-24yrs,,,,,,,
,Digital Outreach,Information out to the public,14-16yrs,,,,,,,
,Digital Outreach,Information out to the public,11-14yrs,,,,,,,
,Digital Outreach,Information out to the public,7-11yrs,,,,,,,
,Digital Outreach,Information out to the public,16-19yrs,,,,,,,
,Digital Outreach,Information out to the public,5-7yrs,,,,,,,
,Digital Outreach,Information out to the public,0-5yrs,,,,,,,
,,Level2,Level3,Level4,,,,,,
